ImageID,Source,LabelName,Confidence
0004886b7d043cfd,verification,/m/0463sg,0
0004886b7d043cfd,verification,/m/09j2d,0
000595fe6fee6369,verification,/m/02wbm,1
00075905539074f2,verification,/m/05y5lj,1
00075905539074f2,verification,/m/09j2d,1
0007cebe1b2ba653,verification,/m/09j2d,1
0007cebe1b2ba653,verification,/m/04rky,1
0007d6cf88afaa4a,verification,/m/04rky,1
0008e425fb49a2bf,verification,/m/04rky,1
000a1249af2bc5f0,verification,/m/02wbm,0
000ada55d36b4bcb,verification,/m/05s2s,0
000ada55d36b4bcb,crowdsource-verification,/m/02wbm,1
000c4d66ce89aa69,verification,/m/04rky,1
00101a0160a05d31,verification,/m/05s2s,0
00101a0160a05d31,verification,/m/02wbm,1
0010c714a5da358a,verification,/m/09j2d,1
0013e81caff9a7b2,verification,/m/02wbm,1
0013ea2087020901,verification,/m/02p0tk3,1
0013ea2087020901,verification,/m/09j2d,1
00141571d986d241,verification,/m/02p0tk3,1
00141571d986d241,verification,/m/04rky,0
00141571d986d241,verification,/m/05s2s,1
00141571d986d241,verification,/m/09j2d,1
001464cfae2a30b8,verification,/m/01nkt,0
001464cfae2a30b8,verification,/m/052lwg6,1
001464cfae2a30b8,verification,/m/05s2s,0
001464cfae2a30b8,crowdsource-verification,/m/02wbm,1
001464cfae2a30b8,verification,/m/01_bhs,1
00146ba1e50ed8d8,verification,/m/02p0tk3,1
00146ba1e50ed8d8,verification,/m/04rky,0
00146ba1e50ed8d8,verification,/m/08dz3q,1
00146ba1e50ed8d8,verification,/m/09j2d,1
0019308d876736fe,verification,/m/01nkt,1
0019308d876736fe,verification,/m/0284d,1
0019308d876736fe,verification,/m/02wbm,1
001997021f01f208,verification,/m/04rky,1
001997021f01f208,verification,/m/09j2d,1
001a78754e43abc5,verification,/m/05s2s,1
001a809ad40a2f84,verification,/m/02p0tk3,1
001a995c1e25d892,verification,/m/04rky,0
001a995c1e25d892,verification,/m/08dz3q,1
001ffaceaff5f33f,verification,/m/02wbm,0
001ffaceaff5f33f,verification,/m/04rky,0
0022bffa9abfb554,verification,/m/04rky,0
0022d0ab1e1347ab,verification,/m/04rky,1
0022e32008e479cb,verification,/m/08dz3q,1
0022ecd6f681bed6,crowdsource-verification,/m/02wbm,1
002b0dc60b1068a9,verification,/m/0463sg,0
002d1dd67c722d98,verification,/m/07k1x,0
002d1dd67c722d98,verification,/m/08dz3q,1
002f8241bd829022,verification,/m/04rky,0
003132be85a0beae,verification,/m/08dz3q,1
0032257bf3cd56d0,verification,/m/04rky,1
003232584a062b07,verification,/m/01ww8y,0
003232584a062b07,verification,/m/02wbm,0
00358e88c4d3c953,verification,/m/04rky,1
0035a4bfeda1b637,verification,/m/02wbm,0
0035a4bfeda1b637,verification,/m/05s2s,0
0035a5f752a459e1,verification,/m/052lwg6,0
0035a5f752a459e1,verification,/m/01_bhs,1
0035a5f752a459e1,verification,/m/02wbm,1
0035c28612c035fd,verification,/m/02wbm,1
00361cb81ebf27c3,verification,/m/01_bhs,1
00361cb81ebf27c3,verification,/m/02wbm,1
00385794700c832e,verification,/m/01_bhs,0
00385794700c832e,verification,/m/02wbm,0
00385794700c832e,verification,/m/05s2s,1
003e1e6baff436f7,verification,/m/05s2s,1
