2401345,500,375
2321066,500,333
2332281,375,500
131,600,800
2417957,500,333
2349211,500,375
2321488,334,500
2380385,375,500
2412534,500,375
2366918,342,500
2383628,363,500
2322748,500,375
2378373,333,500
2357439,357,500
2381286,375,500
2384106,421,500
2377628,375,500
2332689,375,500
2343798,375,500
2390820,251,500
2365573,500,375
2356093,405,500
2340393,332,500
2414160,375,500
2349694,500,360
2402960,500,336
2399309,333,500
2330024,375,500
2321579,332,500
2349853,333,500
2327525,332,500
2318772,281,500
2362026,334,500
2379848,500,500
2318521,375,500
2389217,375,500
2399350,370,500
2399560,375,500
2327024,375,500
2408049,375,500
2403855,500,334
2322170,333,500
3297,600,800
2398606,375,500
2361673,375,500
2367956,375,500
2396793,375,500
2361548,332,500
2367123,375,500
1895,600,800
2340193,375,500
2345257,375,500
2317620,500,333
2351460,333,500
2326283,500,332
2351636,333,500
2322258,500,333
2337080,459,500
2408920,375,500
2367889,375,500
2333812,333,500
2377639,375,500
2416022,375,500
2389400,375,500
2392558,375,500
2408657,500,333
2366825,235,500
1159531,576,1024
2328159,336,500
2323512,375,500
2395390,333,500
2408549,375,500
2330292,288,500
2343426,500,331
2336374,375,500
2360962,375,500
2334889,300,500
2355839,375,500
2331759,333,500
2365498,500,421
1159581,1024,768
2411656,500,333
2351337,332,500
2383623,375,500
2415066,301,500
2394911,375,500
2333968,375,500
2389177,375,500
2339213,330,500
2410190,294,500
2372118,375,500
2318589,375,500
2348836,375,500
2336531,400,500
2329023,386,500
498013,683,1024
2325750,333,500
2374302,353,500
2407861,375,500
2325403,335,500
2951,600,800
1160106,766,1024
2339629,296,500
2338263,357,500
2338370,500,476
2395599,361,500
2392587,500,332
2327649,375,500
2378002,375,500
2351796,500,375
2357034,333,500
2375584,375,500
2329611,444,500
2317706,500,375
2346693,333,500
2322079,375,500
2402050,375,500
2415667,500,333
2334627,500,375
2365235,333,500
2408455,374,500
2380393,333,500
2401597,375,500
2324229,334,500
2382625,375,500
2318207,463,500
2332359,400,500
2336428,333,500
2320008,375,500
2330637,332,500
2363016,375,500
2400364,334,500
2383245,261,500
2383741,333,500
2358964,375,500
2393127,375,500
2382786,333,500
2343339,358,500
2374904,375,500
2396267,333,500
2384856,375,500
2324167,500,375
2334341,334,500
2388743,333,500
2345838,333,500
498129,612,612
285984,684,899
713935,683,1024
2398228,335,500
2358294,500,375
2398304,500,400
2409397,500,375
2394165,375,500
2385914,333,500
2392607,333,500
2373129,333,500
2323683,500,500
2343048,495,500
2320933,333,500
2411334,334,500
2391451,500,486
2354247,332,500
2327558,375,500
2324068,224,500
2410800,500,242
2376432,500,335
2363815,334,500
2346940,281,500
150511,556,1024
2382277,500,375
2366301,333,500
2393903,500,500
2406069,375,500
1872,600,800
2332116,375,500
2411258,333,500
2362611,500,500
2406409,375,500
2348815,500,375
2334108,346,500
2399644,332,500
2338569,375,500
2387398,313,500
2392980,375,500
2328312,500,375
2410374,500,334
2343127,329,500
2380412,375,500
2356681,333,500
2378185,500,375
2325305,337,500
2345691,368,500
2401386,333,500
2410311,333,500
2345592,375,500
2318692,333,500
2336433,375,500
2332601,331,500
2401367,375,500
2409474,375,500
1592852,768,1024
2417194,334,500
2356685,333,500
2380329,333,500
2378823,490,500
2363039,333,500
2405224,374,500
2337906,292,500
2322532,500,375
2322978,333,500
150481,667,1000
2405386,375,500
1063,480,640
2358169,334,500
2391798,375,500
2357484,375,500
2343391,375,500
1151,525,700
2402490,332,500
2413619,375,500
605,800,600
2404638,328,500
2338086,370,500
2413668,375,500
2369401,500,375
2376075,333,500
3168,600,800
2412206,375,500
2330787,500,357
2340773,500,333
2349271,375,500
2359426,500,333
2375277,375,500
2364801,333,500
2328315,339,500
2384942,500,333
2357998,375,500
2326948,313,500
2412074,375,500
2356873,500,375
2321826,500,375
2394195,500,375
2362936,298,500
2416012,500,333
2382336,500,375
2386080,334,500
2384702,333,500
2334979,375,500
2369312,500,375
2398181,240,320
2403754,500,333
2347646,500,375
2360607,334,500
2353854,500,351
2353334,246,326
2335809,334,500
2412612,186,500
2371407,375,500
2410441,334,500
2321339,299,500
2377034,500,351
2356073,375,500
2382228,375,500
2376192,381,500
2324027,375,500
2361112,375,500
1159865,1024,744
2397472,500,375
2366378,333,500
2399354,333,500
2364482,333,500
2335712,343,500
2329415,375,500
2321382,375,500
2329526,333,500
2332018,333,500
2337094,333,500
2386394,375,500
2407975,500,375
2399024,268,500
2389255,333,500
2319239,375,500
2371244,333,500
2339988,332,500
2382920,333,500
2387974,333,500
2346979,281,500
2317439,335,500
2343402,500,332
2323035,375,500
713540,1024,733
2347848,333,500
2357676,331,500
2406060,375,500
2317988,375,500
2392277,500,332
2361373,375,500
2339795,334,500
2390716,375,500
2362309,325,500
2758,600,800
2417272,335,500
2381690,375,500
2365730,375,500
2403311,500,500
2334517,332,500
2352726,334,500
2321125,333,500
2417806,374,500
2362770,375,500
2372448,281,500
2417310,500,408
2357618,375,500
2414612,331,500
1591949,576,1024
2413544,156,500
2395643,333,500
2355676,333,500
2417386,331,500
2401915,375,500
2355208,500,500
2319685,500,333
2371671,375,500
2389081,250,500
2391724,375,500
2389279,375,500
2361921,333,500
2417925,500,375
2409356,334,500
2347279,333,500
2355106,500,375
2336918,332,500
2374263,375,500
2368030,333,500
2328439,334,500
2360327,374,500
2368672,375,500
2358333,375,500
2397986,333,500
2406491,331,500
4455,650,801
2357988,375,500
2320803,375,500
2362188,500,331
2324155,333,500
2325912,308,500
2368009,375,500
1159677,967,1024
2381989,333,500
2396390,444,500
2402055,500,333
2384232,500,375
2390695,500,332
2363434,500,500
2362960,334,500
2325297,500,333
2386441,368,500
2369997,500,375
2325692,268,500
2353061,500,500
2390048,333,500
2334125,334,500
2396387,333,500
3055,600,800
2398974,282,500
2328729,334,500
2415300,500,359
2412403,500,375
2600,600,800
2325742,289,500
729,600,800
2403500,375,500
2397641,371,500
2367386,333,500
2411186,333,500
2388521,225,500
2397826,334,500
2390549,333,500
2381982,375,500
2376284,334,500
2348600,500,375
2368520,500,374
2327159,375,500
2320578,500,375
2348239,281,500
2397497,333,500
2322071,375,500
2333572,341,500
2332081,375,500
